Pengujian Ke,K,Alpha,Beta,Accuracy
Pengujian Ke- 1,3,0.3,0.1,0.8320987654320988
Pengujian Ke- 2,3,0.3,0.2,0.6666666666666666
Pengujian Ke- 3,3,0.4,0.1,0.8839506172839506
Pengujian Ke- 4,3,0.4,0.2,0.7333333333333333
Pengujian Ke- 5,4,0.3,0.1,0.8864197530864197
Pengujian Ke- 6,4,0.3,0.2,0.6123456790123457
Pengujian Ke- 7,4,0.4,0.1,0.6839506172839506
Pengujian Ke- 8,4,0.4,0.2,0.4469135802469136
Pengujian Ke- 9,5,0.3,0.1,0.8617283950617284
Pengujian Ke- 10,5,0.3,0.2,0.4617283950617284
Pengujian Ke- 11,5,0.4,0.1,0.8518518518518519
Pengujian Ke- 12,5,0.4,0.2,0.837037037037037
